,Company,fuel-type,num-of-doors,body-style,length,num-of-cylinders,peak-rpm,city-mpg,highway-mpg,price,Gear-type
126,porsche,1,2,5,168.9,6,5900,7,10,2439600,1
127,porsche,1,2,5,168.9,6,5900,7,10,2552100,2
128,porsche,1,2,1,168.9,6,5900,7,10,2777100,1
129,porsche,1,2,2,175.7,8,5750,7,12,971175,2
130,renault,1,4,4,181.5,4,5075,9,13,697125,1
131,renault,1,2,2,176.8,4,5075,9,13,742125,2
132,saab,1,2,2,186.6,4,5250,9,12,888750,1
133,saab,1,4,3,186.6,4,5250,9,12,912750,2
134,saab,1,2,2,186.6,4,5250,9,12,1128000,1
135,saab,1,4,3,186.6,4,5250,9,12,1163250,2
136,saab,1,2,2,186.6,4,5500,8,11,1361250,1
137,saab,1,4,3,186.6,4,5500,8,11,1396500,2
138,subaru,1,2,2,156.9,4,4900,13,15,383850,1
139,subaru,1,2,2,157.9,4,4400,11,13,528975,2
140,subaru,1,2,2,157.3,4,4400,11,13,570225,1
141,subaru,1,4,3,172.0,4,4800,13,15,534450,2
142,subaru,1,4,3,172.0,4,4400,12,14,583125,1
143,subaru,1,4,3,172.0,4,5200,11,13,747000,2
144,subaru,1,4,3,172.0,4,4800,10,10,692475,1
145,subaru,1,4,3,172.0,4,4800,10,12,844425,2
146,subaru,1,4,4,173.5,4,4800,12,13,559725,1
147,subaru,1,4,4,173.5,4,5200,10,13,764850,2
148,subaru,1,4,4,173.6,4,4800,9,12,600975,1
149,subaru,1,4,4,173.6,4,4800,9,9,877050,2
150,toyota,1,2,2,158.7,4,4800,15,16,401100,1
151,toyota,1,2,2,158.7,4,4800,13,16,475350,2
152,toyota,1,4,2,158.7,4,4800,13,16,486600,1
153,toyota,1,4,4,169.7,4,4800,13,15,518850,2
154,toyota,1,4,4,169.7,4,4800,11,13,592350,1
155,toyota,1,4,4,169.7,4,4800,11,13,658350,2
156,toyota,1,4,3,166.3,4,4800,12,15,520350,1
157,toyota,1,4,2,166.3,4,4800,12,15,539850,2
158,toyota,2,4,3,166.3,4,4500,14,15,592350,1
159,toyota,2,4,2,166.3,4,4500,16,20,584100,2
160,toyota,1,4,3,166.3,4,4800,16,20,580350,1
161,toyota,1,4,2,166.3,4,4800,12,14,626850,2
162,toyota,1,4,3,166.3,4,4800,12,14,694350,1
163,toyota,1,2,3,168.7,4,4800,12,14,604350,2
164,toyota,1,2,2,168.7,4,4800,12,14,617850,1
165,toyota,1,2,3,168.7,4,6600,11,12,697350,2
166,toyota,1,2,2,168.7,4,6600,11,12,715350,1
167,toyota,1,2,5,176.2,4,4800,10,12,633675,2
168,toyota,1,2,5,176.2,4,4800,10,12,722925,1
169,toyota,1,2,2,176.2,4,4800,10,12,749175,2
170,toyota,1,2,5,176.2,4,4800,10,12,839925,1
171,toyota,1,2,2,176.2,4,4800,10,12,866175,2
172,toyota,1,2,1,176.2,4,4800,10,12,1325175,1
173,toyota,1,4,3,175.6,4,4200,12,14,671100,2
174,toyota,2,4,3,175.6,4,4500,12,14,802350,1
175,toyota,1,4,2,175.6,4,4200,11,13,749100,2
176,toyota,1,4,3,175.6,4,4200,11,13,817350,1
177,toyota,1,4,2,175.6,4,4200,11,13,843600,2
178,toyota,1,2,2,183.5,6,5200,8,10,1241850,1
179,toyota,1,2,2,183.5,6,5200,8,10,1199850,2
180,toyota,1,4,3,187.8,6,5200,8,10,1176750,1
181,toyota,1,4,4,187.8,6,5200,8,10,1181250,2
182,volkswagen,2,2,3,171.7,4,4800,15,19,583125,1
183,volkswagen,1,2,3,171.7,4,5250,11,14,598125,2
184,volkswagen,2,4,3,171.7,4,4800,15,19,599625,1
185,volkswagen,1,4,3,171.7,4,5250,11,14,614625,2
186,volkswagen,1,4,3,171.7,4,5250,11,14,637125,1
187,volkswagen,2,4,3,171.7,4,4500,15,18,712125,2
188,volkswagen,1,4,3,171.7,4,5500,11,13,749625,1
189,volkswagen,1,2,1,159.3,4,5500,10,12,869625,2
190,volkswagen,1,2,2,165.7,4,5500,10,12,748500,1
191,volkswagen,1,4,3,180.2,5,5500,8,10,997125,2
192,volkswagen,2,4,3,180.2,4,4500,14,16,1038375,1
193,volkswagen,1,4,4,183.1,4,5500,10,13,921750,2
194,volvo,1,4,3,188.8,4,5400,9,12,970500,1
195,volvo,1,4,4,188.8,4,5400,9,12,1006125,2
196,volvo,1,4,3,188.8,4,5400,10,12,1198875,1
197,volvo,1,4,4,188.8,4,5400,10,12,1238625,2
198,volvo,1,4,3,188.8,4,5100,7,9,1381500,1
199,volvo,1,4,4,188.8,4,5100,7,9,1421250,2
200,volvo,1,4,3,188.8,4,5400,9,12,1263375,1
201,volvo,1,4,3,188.8,4,5300,8,10,1428375,2
202,volvo,1,4,3,188.8,6,5500,7,9,1611375,1
203,volvo,2,4,3,188.8,6,4800,11,11,1685250,2
204,volvo,1,4,3,188.8,4,5400,8,10,1696875,1
